Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
شمندر صيفي (Beetroot - Summer),2.87,Summer,Nov-28,large,Indirect light,Clay,Regular watering,Avoid overwatering,2870,Medium-Fast (70%),Used in cooking as natural seasoning
فلفل حلو سان مارزانو (Bell pepper - San Marzano),2.2,Autumn,17-26,large,Indirect light,Sandy,Support stems/trellis,Protect from frost,2200,Slow (40%),Natural source of fiber for better digestion
فجل متأخر (Radish - Late),0.36,Summer,18-23,ground,Indirect light,Sandy,Mulch to retain moisture,"Water at base, not foliage",360,Medium-Fast (70%),Used in traditional herbal medicine
فلفل حلو متأخر (Bell pepper - Late),0.89,Autumn,18-27,large,Full sun,Sandy,Fertilize monthly,Trim regularly for shape,890,Fast (80%),Provide shade and cool the environment
يقطين طري (Pumpkin - Tender),0.79,Autumn,19-32,large,Partial shade,Loamy,Regular watering,Trim regularly for shape,790,Medium (60%),Fix nitrogen and enrich soil fertility
هليون أخضر غامق (Asparagus - Dark Green),1.96,Autumn,17-26,large,Indirect light,Loamy,Deadhead spent blooms,Trim regularly for shape,1960,Slow (40%),Rich in vitamins and minerals
فلفل حلو مبكر (Bell pepper - Early),0.51,Autumn,13-30,large,Full sun,Sandy,Fertilize monthly,"Water at base, not foliage",510,Slow (40%),Soothing and antimicrobial properties
فلفل حلو صيفي (Bell pepper - Summer),1.66,Winter,Nov-31,large,Indirect light,Clay,Mulch to retain moisture,"Water at base, not foliage",1660,Medium-Fast (70%),Aromatic and refreshing scent
هليون قزمي (Asparagus - Dwarf),2,Winter,20-27,large,Indirect light,Clay,Deadhead spent blooms,"Water at base, not foliage",2000,Medium (60%),High in vitamin C and antioxidants
هليون مقرمش (Asparagus - Crisp),2.51,Autumn,20-26,ground,Partial shade,Loamy,Regular watering,Protect from frost,2510,Fast (80%),Rich in vitamins and minerals
خرشوف قلبي (Artichoke - Heirloom),2.3,Summer,14-22,medium,Partial shade,Loamy,Deadhead spent blooms,Protect from frost,2300,Medium-Fast (70%),Used in perfumes and decoration
كرنب متأخر (Cabbage - Late),1.44,Autumn,15-34,medium,Indirect light,Well-drained,Mulch to retain moisture,"Water at base, not foliage",1440,Medium (60%),Low in calories and ideal for diets
خرشوف أصفر (Artichoke - Yellow),2.25,Spring,17-27,large,Indirect light,Sandy loam,Regular watering,Trim regularly for shape,2250,Fast (80%),Some species purify indoor air
كوسا طري (Zucchini - Tender),2.64,Winter,18-27,ground,Partial shade,Sandy,Support stems/trellis,Keep soil evenly moist,2640,Medium (60%),Provides hydration and natural energy
خس كرزية (Lettuce - Cherry),1.75,Winter,20-24,large,Partial shade,Sandy loam,Deadhead spent blooms,Protect from frost,1750,Fast (80%),Supports heart and vascular health
كراث أصفر (Leek - Yellow),2.9,Autumn,15-24,ground,Partial shade,Clay,Fertilize monthly,Avoid overwatering,2900,Medium (60%),High in plant-based protein
كوسا قلبي (Zucchini - Heirloom),2.78,Autumn,14-25,ground,Partial shade,Loamy,Support stems/trellis,"Water at base, not foliage",2780,Medium (60%),Support heart health and lower cholesterol
بطاطس شتوي (Potato - Winter),1.83,Winter,Dec-26,large,Partial shade,Sandy loam,Regular watering,"Water at base, not foliage",1830,Fast (80%),Contains antioxidants that reduce inflammation
يقطين صيفي (Pumpkin - Summer),0.99,Summer,13-29,large,Full sun,Clay,Deadhead spent blooms,Keep soil evenly moist,990,Medium-Fast (70%),Purify air and absorb pollutants
خرشوف حلو (Artichoke - Sweet),1.16,Spring,13-22,large,Full sun,Clay,Deadhead spent blooms,Avoid overwatering,1160,Slow (40%),Some species purify indoor air
قرنبيط متأخر (Cauliflower - Late),0.7,Spring,14-34,ground,Partial shade,Sandy,Support stems/trellis,Protect from frost,700,Fast (80%),Low in calories and ideal for diets
كرنب حلو (Cabbage - Sweet),0.66,Summer,Dec-29,large,Full sun,Loamy,Regular watering,Keep soil evenly moist,660,Medium-Fast (70%),Natural source of fiber for better digestion
كرنب قزمي (Cabbage - Dwarf),2.31,Autumn,13-25,ground,Full sun,Well-drained,Support stems/trellis,Protect from frost,2310,Medium (60%),Rich in vitamins and minerals
ثوم صيفي (Garlic - Summer),2.82,Spring,Nov-27,large,Partial shade,Clay,Support stems/trellis,"Water at base, not foliage",2820,Medium-Fast (70%),Contains antioxidants that reduce inflammation
باذنجان حلو (Eggplant - Sweet),1.18,Autumn,Dec-25,ground,Indirect light,Well-drained,Regular watering,"Water at base, not foliage",1180,Medium-Fast (70%),Rich in vitamins and minerals
كوسا مقرمش (Zucchini - Crisp),2.7,Spring,20-30,ground,Full sun,Loamy,Regular watering,Keep soil evenly moist,2700,Medium (60%),High in vitamin C and antioxidants
يقطين مبكر (Pumpkin - Early),0.72,Spring,Oct-25,medium,Partial shade,Well-drained,Support stems/trellis,Avoid overwatering,720,Fast (80%),Support heart health and lower cholesterol
فلفل حلو أخضر غامق (Bell pepper - Dark Green),1.27,Summer,17-23,ground,Indirect light,Clay,Deadhead spent blooms,Protect from frost,1270,Medium (60%),Soothing and antimicrobial properties
طماطم صيفي (Tomato - Summer),1.26,Spring,15-27,large,Partial shade,Sandy loam,Regular watering,Avoid overwatering,1260,Medium (60%),Supports heart and vascular health
قرنبيط قلبي (Cauliflower - Heirloom),0.82,Summer,15-23,large,Partial shade,Sandy loam,Fertilize monthly,Trim regularly for shape,820,Medium-Fast (70%),Supports heart and vascular health
خرشوف حار (Artichoke - Hot),1.69,Autumn,18-27,large,Full sun,Loamy,Mulch to retain moisture,Trim regularly for shape,1690,Slow (40%),Provide shade and cool the environment
كوسا حار (Zucchini - Hot),1.81,Summer,15-25,large,Full sun,Loamy,Support stems/trellis,Trim regularly for shape,1810,Medium-Fast (70%),Supports heart and vascular health
كرفس قزمي (Celery - Dwarf),1.49,Autumn,18-29,large,Partial shade,Loamy,Fertilize monthly,Avoid overwatering,1490,Fast (80%),Soothing and antimicrobial properties
بروكلي برتقالي (Broccoli - Orange),2.98,Autumn,Oct-25,medium,Partial shade,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,2980,Slow (40%),Contains antioxidants that reduce inflammation
